FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
1/2/2018,ExpressJet Airlines Inc.,ATL,ABE,FALSE,FALSE,1505,1530,25,25,1723,13,97,125,113,692,2018,1,1,2,2,DL,DL_CODESHARE,19790,DL,5391,EV,20366,EV,N607LR,5391,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,10135,1013505,30135,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,1,1,1500-1559,12,1542,1719,4,1710,13,0,0,1700-1759,3,0
1/2/2018,Delta Air Lines Inc.,ATL,ABE,FALSE,FALSE,2127,2217,50,50,7,37,94,123,110,692,2018,1,1,2,2,DL,DL,19790,DL,960,DL,19790,DL,N978AT,960,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,10135,1013505,30135,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,1,3,2100-2159,11,2228,2,5,2330,37,1,2,2300-2359,3,0
1/2/2018,ExpressJet Airlines Inc.,ATL,ABE,FALSE,FALSE,1505,1530,25,25,1723,13,97,125,113,692,2018,1,1,2,2,DL,DL_CODESHARE,19790,DL,5391,EV,20366,EV,N607LR,5391,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,10135,1013505,30135,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,1,1,1500-1559,12,1542,1719,4,1710,13,0,0,1700-1759,3,0
1/2/2018,ExpressJet Airlines Inc.,EWR,CAK,FALSE,FALSE,1535,1527,0,-8,1700,0,63,100,93,382,2018,1,1,2,2,UA,UA_CODESHARE,19977,UA,4091,EV,20366,EV,N16546,4091,11618,1161802,31703,"Newark, NJ",NJ,34,New Jersey,21,10874,1087402,30647,"Akron, OH",OH,39,Ohio,44,0,-1,1500-1559,18,1545,1648,12,1715,-15,0,-1,1700-1759,2,0
1/2/2018,ExpressJet Airlines Inc.,EWR,BGR,FALSE,FALSE,1035,1030,0,-5,1152,0,62,83,82,393,2018,1,1,2,2,UA,UA_CODESHARE,19977,UA,4093,EV,20366,EV,N14993,4093,11618,1161802,31703,"Newark, NJ",NJ,34,New Jersey,21,10581,1058102,30581,"Bangor, ME",ME,23,Maine,12,0,-1,1000-1059,15,1045,1147,5,1158,-6,0,-1,1100-1159,2,0
1/2/2018,ExpressJet Airlines Inc.,ELP,IAH,FALSE,FALSE,1720,1712,0,-8,2014,0,92,121,122,667,2018,1,1,2,2,UA,UA_CODESHARE,19977,UA,4094,EV,20366,EV,N14570,4094,11540,1154005,30615,"El Paso, TX",TX,48,Texas,74,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0,-1,1700-1759,13,1725,1957,17,2021,-7,0,-1,2000-2059,3,0
1/2/2018,Delta Air Lines Inc.,ATL,ABE,FALSE,FALSE,2127,2217,50,50,7,37,94,123,110,692,2018,1,1,2,2,DL,DL,19790,DL,960,DL,19790,DL,N978AT,960,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,10135,1013505,30135,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,1,3,2100-2159,11,2228,2,5,2330,37,1,2,2300-2359,3,0
1/2/2018,Southwest Airlines Co.,OAK,ABQ,FALSE,FALSE,2010,2026,16,16,2337,12,118,135,131,889,2018,1,1,2,2,WN,WN,19393,WN,732,WN,19393,WN,N403WN,732,13796,1379608,32457,"Oakland, CA",CA,6,California,91,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,1,1,2000-2059,9,2035,2333,4,2325,12,0,0,2300-2359,4,0
1/2/2018,Southwest Airlines Co.,OAK,ABQ,FALSE,FALSE,510,505,0,-5,803,0,100,130,118,889,2018,1,1,2,2,WN,WN,19393,WN,900,WN,19393,WN,N209WN,900,13796,1379608,32457,"Oakland, CA",CA,6,California,91,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,-1,0001-0559,14,519,759,4,820,-17,0,-2,0800-0859,4,0
1/2/2018,Southwest Airlines Co.,OAK,ABQ,FALSE,FALSE,1545,1544,0,-1,1847,0,110,130,123,889,2018,1,1,2,2,WN,WN,19393,WN,6015,WN,19393,WN,N922WN,6015,13796,1379608,32457,"Oakland, CA",CA,6,California,91,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,-1,1500-1559,10,1554,1844,3,1855,-8,0,-1,1800-1859,4,0
1/2/2018,Southwest Airlines Co.,OAK,ABQ,FALSE,FALSE,1055,1054,0,-1,1356,0,109,130,122,889,2018,1,1,2,2,WN,WN,19393,WN,6504,WN,19393,WN,N436WN,6504,13796,1379608,32457,"Oakland, CA",CA,6,California,91,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,-1,1000-1059,10,1104,1353,3,1405,-9,0,-1,1400-1459,4,0
1/2/2018,Southwest Airlines Co.,PHX,ABQ,FALSE,FALSE,745,743,0,-2,838,0,43,65,55,328,2018,1,1,2,2,WN,WN,19393,WN,823,WN,19393,WN,N565WN,823,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,-1,0700-0759,9,752,835,3,850,-12,0,-1,0800-0859,2,0
1/2/2018,ExpressJet Airlines Inc.,RIC,ORD,FALSE,FALSE,1345,1402,17,17,1459,0,99,140,117,642,2018,1,1,2,2,UA,UA_CODESHARE,19977,UA,4103,EV,20366,EV,N26545,4103,14524,1452401,34524,"Richmond, VA",VA,51,Virginia,38,13930,1393006,30977,"Chicago, IL",IL,17,Illinois,41,1,1,1300-1359,10,1412,1451,8,1505,-6,0,-1,1500-1559,3,0
1/2/2018,ExpressJet Airlines Inc.,EWR,IND,FALSE,FALSE,1545,1610,25,25,1825,10,99,150,135,645,2018,1,1,2,2,UA,UA_CODESHARE,19977,UA,4104,EV,20366,EV,N14991,4104,11618,1161802,31703,"Newark, NJ",NJ,34,New Jersey,21,12339,1233904,32337,"Indianapolis, IN",IN,18,Indiana,42,1,1,1500-1559,28,1638,1817,8,1815,10,0,0,1800-1859,3,0
1/2/2018,Southwest Airlines Co.,PHX,ABQ,FALSE,FALSE,1710,1713,3,3,1809,0,47,65,56,328,2018,1,1,2,2,WN,WN,19393,WN,3279,WN,19393,WN,N279WN,3279,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,0,1700-1759,6,1719,1806,3,1815,-6,0,-1,1800-1859,2,0
1/2/2018,Southwest Airlines Co.,PHX,ABQ,FALSE,FALSE,2330,2343,13,13,38,3,43,65,55,328,2018,1,1,2,2,WN,WN,19393,WN,5075,WN,19393,WN,N253WN,5075,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,0,2300-2359,9,2352,35,3,35,3,0,0,0001-0559,2,0
1/2/2018,Southwest Airlines Co.,PHX,ABQ,FALSE,FALSE,1450,1446,0,-4,1544,0,45,65,58,328,2018,1,1,2,2,WN,WN,19393,WN,5092,WN,19393,WN,N8653A,5092,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,-1,1400-1459,9,1455,1540,4,1555,-11,0,-1,1500-1559,2,0
1/2/2018,Southwest Airlines Co.,PHX,ABQ,FALSE,FALSE,1210,1210,0,0,1309,0,45,65,59,328,2018,1,1,2,2,WN,WN,19393,WN,5238,WN,19393,WN,N754SW,5238,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,0,1200-1259,11,1221,1306,3,1315,-6,0,-1,1300-1359,2,0
1/2/2018,Southwest Airlines Co.,PHX,ABQ,FALSE,FALSE,600,555,0,-5,652,0,44,60,57,328,2018,1,1,2,2,WN,WN,19393,WN,6159,WN,19393,WN,N263WN,6159,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,-1,0600-0659,9,604,648,4,700,-8,0,-1,0700-0759,2,0
1/2/2018,ExpressJet Airlines Inc.,EWR,CHA,FALSE,FALSE,855,904,9,9,1129,3,119,151,145,718,2018,1,1,2,2,UA,UA_CODESHARE,19977,UA,4115,EV,20366,EV,N13992,4115,11618,1161802,31703,"Newark, NJ",NJ,34,New Jersey,21,10980,1098002,30980,"Chattanooga, TN",TN,47,Tennessee,54,0,0,0800-0859,20,924,1123,6,1126,3,0,0,1100-1159,3,0
1/2/2018,United Air Lines Inc.,IAH,ABQ,FALSE,FALSE,1820,1822,2,2,1944,4,116,140,142,744,2018,1,1,2,2,UA,UA,19977,UA,441,UA,19977,UA,N854UA,441,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,0,1800-1859,23,1845,1941,3,1940,4,0,0,1900-1959,3,0
1/2/2018,ExpressJet Airlines Inc.,EWR,RIC,FALSE,FALSE,1955,1951,0,-4,2059,0,49,90,68,277,2018,1,1,2,2,UA,UA_CODESHARE,19977,UA,4119,EV,20366,EV,N27190,4119,11618,1161802,31703,"Newark, NJ",NJ,34,New Jersey,21,14524,1452401,34524,"Richmond, VA",VA,51,Virginia,38,0,-1,1900-1959,13,2004,2053,6,2125,-26,0,-2,2100-2159,2,0
1/2/2018,ExpressJet Airlines Inc.,LGA,CLE,FALSE,FALSE,830,841,11,11,1008,0,69,114,87,419,2018,1,1,2,2,UA,UA_CODESHARE,19977,UA,4120,EV,20366,EV,N13988,4120,12953,1295304,31703,"New York, NY",NY,36,New York,22,11042,1104205,30647,"Cleveland, OH",OH,39,Ohio,44,0,0,0800-0859,11,852,1001,7,1024,-16,0,-2,1000-1059,2,0
1/2/2018,Southwest Airlines Co.,BWI,ABQ,FALSE,FALSE,1350,1413,23,23,1607,0,215,275,234,1670,2018,1,1,2,2,WN,WN,19393,WN,1907,WN,19393,WN,N8655D,1907,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,1,1,1300-1359,15,1428,1603,4,1625,-18,0,-2,1600-1659,7,0
1/2/2018,ExpressJet Airlines Inc.,TYS,IAH,FALSE,FALSE,700,704,4,4,859,24,131,155,175,771,2018,1,1,2,2,UA,UA_CODESHARE,19977,UA,4123,EV,20366,EV,N15983,4123,15412,1541205,35412,"Knoxville, TN",TN,47,Tennessee,54,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0,0,0700-0759,34,738,849,10,835,24,1,1,0800-0859,4,0
1/2/2018,Southwest Airlines Co.,HOU,ABQ,FALSE,FALSE,1255,1306,11,11,1436,26,124,135,150,759,2018,1,1,2,2,WN,WN,19393,WN,5338,WN,19393,WN,N765SW,5338,12191,1219102,31453,"Houston, TX",TX,48,Texas,74,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,0,1200-1259,22,1328,1432,4,1410,26,1,1,1400-1459,4,0
1/2/2018,Southwest Airlines Co.,HOU,ABQ,FALSE,FALSE,820,823,3,3,955,20,128,135,152,759,2018,1,1,2,2,WN,WN,19393,WN,5390,WN,19393,WN,N277WN,5390,12191,1219102,31453,"Houston, TX",TX,48,Texas,74,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0,0,0800-0859,21,844,952,3,935,20,1,1,0900-0959,4,0
1/2/2018,Southwest Airlines Co.,HOU,ABQ,FALSE,FALSE,2255,2321,26,26,41,26,129,140,140,759,2018,1,1,2,2,WN,WN,19393,WN,6350,WN,19393,WN,N561WN,6350,12191,1219102,31453,"Houston, TX",TX,48,Texas,74,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,1,1,2200-2259,8,2329,38,3,15,26,1,1,0001-0559,4,0
